ligand,base,solvent,temperature,concentration,yield
L2,KOAc,DMF,108.7,0.224,38.9
L6,K3PO4,dioxane,100.9,0.247,48.4
L11,K2CO3,DMF,114.1,0.211,55.4
L5,K3PO4,NMP,58.2,0.189,39.0
L11,KOAc,NMP,100.6,0.139,58.9
L8,K2CO3,dioxane,102.3,0.099,62.8
L6,Cs2CO3,DMF,94.6,0.236,42.3
L2,K2CO3,NMP,69.6,0.167,52.2
L6,Cs2CO3,DMF,58.2,0.217,37.0
L6,Cs2CO3,dioxane,96.0,0.128,42.8
L6,KOAc,dioxane,63.1,0.221,24.9
L5,KOAc,DMA,40.6,0.247,37.4
L6,K3PO4,NMP,76.7,0.192,45.9
L10,Cs2CO3,DMA,93.5,0.168,51.2
L1,KOAc,DMF,84.3,0.19,43.2
L8,K3PO4,DMA,74.9,0.104,74.2
L12,KOAc,DMA,44.7,0.12,39.0
L3,K2CO3,DMF,84.6,0.246,38.6
L5,K2CO3,NMP,53.4,0.056,33.3
L10,KOAc,DMF,77.0,0.09,36.2
